Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Public affairs consultant,Finance,Decreasing,Low,Bachelor’s Degree,13,2259,7037,34.74,41.98,Germany,26.03,51667.71
"Journalist, newspaper",Education,Decreasing,Low,Associate Degree,15,2526,5731,52.5,74.24,India,23.16,95081.03
Materials engineer,Manufacturing,Decreasing,Low,Bachelor’s Degree,19,7491,2805,32.15,16.18,China,65.48,44122.69
"Engineer, electronics",Healthcare,Increasing,High,Bachelor’s Degree,14,1098,8507,49.55,28.88,Germany,74.5,110397.48
Warden/ranger,Education,Decreasing,High,High School,8,6643,2074,10.14,65.91,UK,53.83,115399.47
English as a foreign language teacher,Transportation,Decreasing,High,Bachelor’s Degree,12,9030,1306,21.65,1.85,India,22.56,60007.06
Interpreter,Entertainment,Increasing,High,Bachelor’s Degree,1,5371,6406,29.92,43.28,Australia,50.8,112358.04
Interior and spatial designer,Finance,Increasing,Low,Associate Degree,16,9902,9836,33.7,99.84,India,47.08,120371.93
"Nurse, learning disability",Education,Increasing,High,Master’s Degree,6,6860,7789,24.0,82.05,China,51.52,53856.57
"Civil engineer, consulting",Entertainment,Increasing,High,Bachelor’s Degree,10,780,148,59.95,26.63,UK,28.21,119880.21
Freight forwarder,Retail,Decreasing,Low,Associate Degree,0,4090,9466,83.22,58.89,Canada,53.78,57363.68
Public relations account executive,Education,Increasing,High,Master’s Degree,5,685,3305,34.44,25.47,Brazil,67.25,120262.69
Pharmacologist,IT,Increasing,Moderate,High School,1,5232,467,84.66,26.24,USA,28.31,140833.88
Production manager,Transportation,Increasing,Moderate,Master’s Degree,4,8670,1993,4.69,71.96,China,44.51,98785.58
Artist,Retail,Decreasing,Moderate,Master’s Degree,8,6794,3310,77.2,77.11,Australia,25.33,110422.33
Dance movement psychotherapist,Education,Decreasing,Low,High School,20,561,1270,6.1,17.42,USA,23.04,143431.51
Maintenance engineer,Transportation,Decreasing,Moderate,High School,10,4127,9050,35.74,27.98,Brazil,77.94,59092.09
Secretary/administrator,Retail,Increasing,High,Associate Degree,2,4523,5859,71.6,93.99,Germany,45.5,72846.56
Copy,Manufacturing,Increasing,Moderate,High School,15,6708,8702,20.36,22.81,Canada,42.28,120000.77
Geophysical data processor,IT,Increasing,High,Master’s Degree,16,6831,2075,62.05,55.59,Canada,21.25,46680.47
Media buyer,Transportation,Decreasing,Low,PhD,5,4490,534,61.79,73.63,UK,41.16,47176.26
Podiatrist,Healthcare,Decreasing,Low,High School,18,8518,4799,40.47,57.44,Australia,58.01,83888.02
Chief of Staff,Education,Decreasing,Moderate,High School,8,7410,2711,28.04,39.58,Australia,33.3,75634.63
Metallurgist,IT,Decreasing,Low,Associate Degree,8,4724,5457,0.27,76.09,Brazil,53.64,69937.73
"Engineer, maintenance (IT)",Entertainment,Decreasing,High,Master’s Degree,10,6576,9732,25.21,0.79,Canada,31.72,110850.09
Field seismologist,Entertainment,Decreasing,Moderate,High School,18,2208,1199,29.4,70.83,Canada,31.2,88072.61
Intelligence analyst,Retail,Increasing,Low,Bachelor’s Degree,6,7452,7313,77.08,17.15,Australia,31.88,149186.83
Insurance broker,Retail,Decreasing,Moderate,Master’s Degree,16,1264,8903,72.37,73.45,USA,25.15,62713.87
"Investment banker, operational",Manufacturing,Increasing,Moderate,High School,16,5987,7526,80.04,50.23,Brazil,56.15,113254.39
Leisure centre manager,Retail,Decreasing,High,High School,0,3837,7516,30.27,14.5,Canada,54.75,77075.64
Multimedia programmer,Manufacturing,Increasing,Low,Associate Degree,20,1444,2601,92.17,57.4,India,47.57,83228.14
Equality and diversity officer,Entertainment,Increasing,High,PhD,15,4508,6097,70.03,88.77,Germany,31.96,142172.87
Control and instrumentation engineer,Finance,Increasing,High,High School,4,3392,8782,23.95,13.26,India,76.02,33657.68
Armed forces logistics/support/administrative officer,Finance,Decreasing,Low,High School,19,3421,6221,58.1,40.06,USA,36.86,81502.56
"Administrator, sports",Healthcare,Decreasing,Low,Associate Degree,13,4880,5732,85.62,82.6,India,31.94,104105.15
Forest/woodland manager,Entertainment,Increasing,Moderate,Associate Degree,2,4850,6628,70.66,33.64,Australia,37.21,35772.21
Chartered legal executive (England and Wales),Retail,Decreasing,Low,Master’s Degree,16,1802,466,70.22,67.35,Australia,52.27,129332.2
Firefighter,Healthcare,Increasing,Low,Associate Degree,5,5067,6926,38.87,39.88,Australia,31.01,130686.4
Prison officer,IT,Decreasing,Moderate,Associate Degree,5,9089,7881,48.93,76.06,Canada,64.53,148581.49
Politician's assistant,IT,Decreasing,High,Associate Degree,4,3892,4675,83.42,74.08,USA,36.74,63698.09
"Administrator, sports",IT,Decreasing,Low,Bachelor’s Degree,4,945,342,78.8,38.99,Australia,57.05,114393.91
Chemical engineer,Entertainment,Increasing,Low,Bachelor’s Degree,9,8781,8167,60.94,22.54,China,68.47,54499.63
"Administrator, arts",Finance,Increasing,Low,Bachelor’s Degree,0,1428,3966,59.24,80.99,China,60.77,114930.74
"Teacher, special educational needs",IT,Decreasing,Moderate,Associate Degree,10,5144,9308,85.56,53.54,Brazil,22.66,77313.87
Control and instrumentation engineer,Entertainment,Decreasing,Moderate,Associate Degree,3,8344,6055,30.12,9.62,UK,64.58,79981.6
Medical sales representative,Retail,Increasing,Low,PhD,14,4123,7103,10.26,24.77,India,64.39,118022.09
Diagnostic radiographer,Education,Decreasing,High,PhD,10,705,2425,37.92,3.1,Brazil,28.31,102906.71
Futures trader,Finance,Increasing,Moderate,Bachelor’s Degree,4,3754,2052,95.77,85.6,Australia,61.17,108410.39
"Therapist, horticultural",Transportation,Increasing,High,Associate Degree,14,948,6509,32.38,17.6,USA,56.04,143348.44
Housing manager/officer,Manufacturing,Increasing,Moderate,PhD,12,458,6421,83.28,38.13,Canada,74.29,122168.18
"Designer, multimedia",Entertainment,Decreasing,Moderate,PhD,9,9032,4341,96.36,95.56,Brazil,27.49,71893.96
Colour technologist,IT,Decreasing,Low,Associate Degree,6,2842,1572,18.81,82.9,Canada,32.8,89392.28
Ceramics designer,Finance,Increasing,High,Bachelor’s Degree,10,7437,7100,98.35,94.69,Brazil,37.95,32185.66
